id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str
335181,Biblioteca Montbau-Albert Pérez Baró,cultural,library,41.4292,2.14197,Barcelona,,4.5,0.31,24/7,OSM,True,True,True,True,3.243,True,60,"['always_open', 'culture', 'has_schedule', 'indoor']",always_open|culture|has_schedule|indoor
335183,Biblioteca Campo Freudiano,cultural,library,41.3987,2.16927,Barcelona,,4.2,0.38,Mo-Fr 09:00-21:00; Sa 10:00-21:00,OSM,True,False,True,True,3.054,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335184,Ciudad del Teatro,cultural,museum,41.3702,2.15766,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,120,"['culture', 'indoor', 'long_visit']",culture|indoor|long_visit
335186,Biblioteca centre didàctic ciències experimentals,cultural,library,41.388,2.16803,Barcelona,,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,60,"['culture', 'indoor']",culture|indoor
335188,Biblioteca de l'Escola Tècnica Superior d'Enginyeria Industrial de Barcelona,cultural,library,41.3849,2.11525,Barcelona,,4.4,0.32,Mo-Su 07:45-20:30,OSM,True,False,True,True,3.176,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335190,"Edifici d'habitatges al passeig Sant Joan, 26 (Barcelona)",cultural,library,41.393,2.17858,Barcelona,,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,60,"['culture', 'indoor']",culture|indoor
335192,Hospital de la Santa Cruz,cultural,library,41.3811,2.16981,Barcelona,,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,"['culture', 'indoor']",culture|indoor
335194,Biblioteca Sant Martí de Provençals,cultural,library,41.4167,2.19858,Barcelona,,4.0,0.5037655860349127,,,False,False,False,False,2.5084602244389025,False,60,"['culture', 'indoor']",culture|indoor
335196,Biblioteca Pública Episcopal de Barcelona,cultural,library,41.3878,2.16345,Barcelona,,4.2,0.67,Mo-Fr 08:00-20:00,OSM,True,False,True,True,3.141,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335198,Casa Antoni Roger,cultural,library,41.3917,2.17551,Barcelona,,3.8,0.38,"Mo-Sa 10:00-14:00, 16:30-20:30",OSM,True,False,True,True,2.7739999999999996,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335200,A Pierre de Coubertin,cultural,museum,41.3931,2.14819,Barcelona,,4.5,0.35,Mo-Fr 09:00-17:00,OSM,True,False,True,True,3.255,True,120,"['culture', 'has_schedule', 'indoor', 'long_visit']",culture|has_schedule|indoor|long_visit
335202,Cine Texas,cultural,library,41.3767,2.15927,Barcelona,,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,60,"['culture', 'indoor']",culture|indoor
335204,Federació de Moviments de Renovació Pedagògica de Catalunya,cultural,library,41.3761,2.17489,Barcelona,,4.3,0.42,Mo-Th 09:00-21:00; Fr 09:00-15:00,OSM,True,False,True,True,3.1359999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335206,A Capmany,monument,memorial,41.376,2.17606,Barcelona,,4.7,0.5037655860349127,,,False,False,False,False,2.9249602244389026,False,20,"['historic', 'quick_visit', 'touristic']",historic|quick_visit|touristic
335208,Palau de Mar,cultural,library,41.3808,2.18587,Barcelona,,3.2,0.39,"Tu, Th-Sa 10:00-19:00, 09:00-18:00; Su 10:00-14:30; We 10:00-20:00",OSM,True,False,True,True,2.3569999999999998,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335210,Centro de Documentación del Colegio Oficial de Psicólogos de Cataluña,cultural,library,41.3807,2.15131,Barcelona,,3.3,0.24,Mo-Fr 09:00-17:30,OSM,True,False,True,True,2.3819999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335212,Comisión del Mercado de las Telecomunicaciones,cultural,library,41.4026,2.19078,Barcelona,,4.4,0.5037655860349127,,,False,False,False,False,2.746460224438903,False,60,"['culture', 'indoor']",culture|indoor
335216,Bolsa de Barcelona,cultural,library,41.3899,2.16718,Barcelona,,4.8,0.78,"Su-Th 13:00-16:00, 20:00-22:30; Fr-Sa 20:00-23:00",OSM,True,False,True,True,3.594,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335218,Barcelona Graduate School of Economics,cultural,library,41.39,2.19087,Barcelona,,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,60,"['culture', 'indoor']",culture|indoor
335220,Museo de Historia de Cataluña,cultural,museum,41.3807,2.18552,Barcelona,,3.9,0.65,"Tu, Th-Sa 10:00-19:00, 09:00-18:00; Su 10:00-14:30; We 10:00-20:00",OSM,True,False,True,True,2.925,True,120,"['culture', 'has_schedule', 'indoor', 'long_visit']",culture|has_schedule|indoor|long_visit
335222,Centro de Documentación y Recursos Pedagógicos de SIDA STUDI,cultural,library,41.3825,2.17081,Barcelona,,4.6,0.35,Mo-Sa 08:00-20:30,OSM,True,False,True,True,3.3249999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335224,CRAI - Biblioteca,cultural,library,41.3854,2.11704,Barcelona,,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,60,"['culture', 'indoor']",culture|indoor
335226,Centre de Documentació Begoña Raventós -Biblioteca,cultural,library,41.385,2.15221,Barcelona,,4.9,0.38,Mo-Th 08:30-00:00; Fr 08:30-01:00; Sa 10:00-01:00; Su 10:00-00:00,OSM,True,False,True,True,3.544,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335228,Sinagoga de la Comunidad Israelita de Barcelona,cultural,library,41.3967,2.14811,Barcelona,,3.4,0.6,Mo-Fr 09:00-18:00,OSM,True,False,True,True,2.56,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335230,Edificio de la Universidad de Barcelona,cultural,library,41.3866,2.16403,Barcelona,,3.7,0.48,"Mo 10:00-14:00; We,Sa 10:00-14:00,15:00-18:00; Fr 15:00-18:00",OSM,True,False,True,True,2.734,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335232,Sala d'Estudi Francesc Boix,cultural,library,41.374,2.16404,Barcelona,,4.7,0.43,"Tu,Th 09:30-13:30,15:00-20:00; Mo,Fr 15:00-20:00; We 09:30-20:00; Sa 10:00-14:00",OSM,True,False,True,True,3.419,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335234,Biblioteca Artur Martorell,cultural,library,41.375,2.14813,Barcelona,,3.9,0.41,Su-Th 13:00-23:00; Fr-Sa 13:00-00:00,OSM,True,False,True,True,2.8529999999999998,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335236,Biblioteca - Centre d'Investigació i Desenvolupament,cultural,library,41.3877,2.11495,Barcelona,,3.7,0.29,"Mo-Su,PH 10:00-dusk",OSM,True,False,True,True,2.677,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335238,Forma 212,cultural,library,41.4358,2.14716,Barcelona,,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,"['culture', 'indoor']",culture|indoor
335239,Biblioteca del Colegio de Notarios de Cataluña,cultural,library,41.3831,2.16914,Barcelona,,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,60,"['culture', 'indoor']",culture|indoor
335241,Vapor Vell,cultural,library,41.3769,2.13475,Barcelona,,4.7,1.0,"Mo,We,Th,Sa 10:00-14:00,16:00-21:00; Tu,Fr 10:00-21:00",OSM,True,False,True,True,3.59,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335243,Facultat de Dret (Barcelona),cultural,library,41.3872,2.1211,Barcelona,,3.4,0.41,"Mo-Su,PH 10:00-dusk",OSM,True,False,True,True,2.5029999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
